method,image,entropy,contrast,average_gradient,edge_strength,high_frequency_energy
clahe,bus.jpg,7.971648,70.036140,100.930656,142.737534,1927.776855
clahe,zidane.jpg,7.646451,61.687790,26.836664,37.952770,101.022247
dwt_global_a1_5,bus.jpg,7.934948,69.803490,88.548103,125.225899,2348.500977
dwt_global_a1_5,zidane.jpg,7.144950,47.801067,19.177504,27.121088,159.296387
dwt_mask_k1_0_b0_5,bus.jpg,7.935239,69.317902,82.031113,116.009521,2019.249878
dwt_mask_k1_0_b0_5,zidane.jpg,7.155206,47.832394,18.580614,26.276962,150.550751
original,bus.jpg,7.924535,67.962852,74.964806,106.016258,1147.671875
original,zidane.jpg,7.155435,47.687294,17.921713,25.345133,73.714699
sharpen,bus.jpg,7.746922,80.584511,160.525650,227.017578,7743.099609
sharpen,zidane.jpg,7.178142,49.154274,31.954113,45.189926,319.895813
